REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL
South Dakota,2010,46,1.00136,59
Tennessee,2010,46,0.676526,86
Texas,2010,46,2.24622,1121
Utah,2010,46,0.907845,53
Vermont,2010,46,1.79054,53
Virginia,2010,46,1.53242,898
Washington,2010,46,1.33132,44
West Virginia,2010,46,1.99804,224
Wisconsin,2010,46,1.12402,59
Wyoming,2010,46,0.744725,36
New York City,2010,46,1.92684,1810
Alabama,2010,47,4.27655,360
Alaska,2010,47,0.652316,10
Arizona,2010,47,1.1338,251
Arkansas,2010,47,2.02599,53
California,2010,47,3.16132,729
Colorado,2010,47,0.754401,108
Connecticut,2010,47,0.716612,11
Delaware,2010,47,0.503356,12
District of Columbia,2010,47,3.33519,60
Florida,2010,47,X,X
Georgia,2010,47,5.4632,1801
Hawaii,2010,47,1.57422,128
Idaho,2010,47,3.06882,99
Illinois,2010,47,1.81669,622
Indiana,2010,47,0.795053,72
Iowa,2010,47,0.533689,8
Kansas,2010,47,0.890511,61
Kentucky,2010,47,0.539615,63
Louisiana,2010,47,2.92706,433
Maine,2010,47,0.617566,27
Maryland,2010,47,2.01258,128
Massachusetts,2010,47,0.958095,198
Michigan,2010,47,0.855178,92
Minnesota,2010,47,1.10096,47
Mississippi,2010,47,4.83811,786
Missouri,2010,47,1.41407,78
Montana,2010,47,0.537057,10
Nebraska,2010,47,0.614754,15
Nevada,2010,47,3.10198,299
New Hampshire,2010,47,0.205181,8
New Jersey,2010,47,2.41758,143
New Mexico,2010,47,2.9782,194
New York,2010,47,0.54919,58
North Carolina,2010,47,0.63197,102
North Dakota,2010,47,0.590551,27
Ohio,2010,47,0.454502,48
Oklahoma,2010,47,2.6523,64
Oregon,2010,47,1.06383,25
Pennsylvania,2010,47,1.10846,144
Rhode Island,2010,47,0.67804,31
South Carolina,2010,47,0.513049,23
South Dakota,2010,47,0.891996,37
Tennessee,2010,47,0.821849,65
Texas,2010,47,2.59866,964
Utah,2010,47,0.743569,37
Vermont,2010,47,1.94011,46
Virginia,2010,47,1.62726,987
Washington,2010,47,1.87333,21
West Virginia,2010,47,1.68525,133
Wisconsin,2010,47,0.978261,36
Wyoming,2010,47,0.500147,17
New York City,2010,47,2.33103,1971
Alabama,2010,48,4.44043,467
Alaska,2010,48,0.45977,8
Arizona,2010,48,1.42227,371
Arkansas,2010,48,1.39295,62
California,2010,48,2.60631,939
Colorado,2010,48,0.849729,168
Connecticut,2010,48,0.442994,19
Delaware,2010,48,0.270005,11
District of Columbia,2010,48,4.15896,135
Florida,2010,48,X,X
Georgia,2010,48,3.48178,1315
Hawaii,2010,48,1.96305,34
Idaho,2010,48,1.80142,86
Illinois,2010,48,1.62132,659
Indiana,2010,48,0.887189,109
Iowa,2010,48,0.827498,26
Kansas,2010,48,0.719424,66
Kentucky,2010,48,0.673462,111
Louisiana,2010,48,2.66482,443
Maine,2010,48,0.347958,23
Maryland,2010,48,1.86342,167
Massachusetts,2010,48,0.903185,260
Michigan,2010,48,0.564609,88
Minnesota,2010,48,0.855418,51
Mississippi,2010,48,4.88509,829
Missouri,2010,48,1.56732,132
Montana,2010,48,0.0380518,1
Nebraska,2010,48,2.8157,99
Nevada,2010,48,2.89043,325
New Hampshire,2010,48,0.138806,7
New Jersey,2010,48,2.60116,144
New Mexico,2010,48,2.8547,234
New York,2010,48,1.62591,244
North Carolina,2010,48,0.657793,170
North Dakota,2010,48,0.347088,18
Ohio,2010,48,0.349567,59
Oklahoma,2010,48,2.14477,64
Oregon,2010,48,0.718276,27
Pennsylvania,2010,48,1.20878,217
Rhode Island,2010,48,0.765766,51
South Carolina,2010,48,0.509782,37
South Dakota,2010,48,1.10714,62
Tennessee,2010,48,0.805777,106
Texas,2010,48,2.56617,1273
Utah,2010,48,0.838308,66
Vermont,2010,48,1.57528,52
Virginia,2010,48,1.57146,970
Washington,2010,48,0.981767,35
West Virginia,2010,48,1.39059,159
Wisconsin,2010,48,1.27081,71
Wyoming,2010,48,0.593776,29
New York City,2010,48,2.54207,2411
Alabama,2010,49,5.81097,656
Alaska,2010,49,0.797721,14
Arizona,2010,49,2.14835,517
Arkansas,2010,49,1.02064,44
California,2010,49,3.05613,1072
