YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
2008,34,0.503985,0.743896,730,754,134,2237,657,300714
2008,35,0.468139,0.814166,794,892,127,2429,636,298342
2008,36,0.576455,0.838401,774,880,144,2461,666,293535
2008,37,0.681361,0.851124,859,994,177,2788,685,327567
2008,38,0.794764,1.10976,1062,1527,188,3735,679,336560
2008,39,0.868116,1.03114,983,1306,179,3400,716,329731
2008,40,1.06828,1.02284,1535,2352,324,5687,1435,555999
2008,41,1.00756,1.03017,1861,2291,322,5959,1500,578446
2008,42,0.979399,1.01245,1869,2219,341,5896,1525,582351
2008,43,1.04943,1.08359,1976,2474,367,6485,1527,598473
2008,44,1.13218,1.16578,2119,2547,452,6987,1545,599343
2008,45,1.13156,1.1913,2276,2668,372,7297,1555,612526
2008,46,1.15469,1.28075,2512,2854,412,7667,1555,598635
2008,47,1.20448,1.27053,2600,2828,412,7733,1563,608646
2008,48,1.36081,1.59578,3024,2412,457,7634,1523,478386
2008,49,1.30322,1.4585,3114,2913,469,8708,1551,597052
2008,50,1.30204,1.49921,3252,3024,439,8689,1543,579573
2008,51,1.45109,1.62982,3137,2579,456,7812,1416,479318
2008,52,1.79927,2.15561,3897,2367,495,8706,1484,403876
2008,53,2.12134,2.02053,3814,2042,584,8603,1490,425780
2009,1,1.47138,1.54566,3245,2548,557,8956,1539,579428
2009,2,1.61555,1.64224,3142,3345,473,9289,1512,565631
2009,3,1.95333,1.96524,3602,4597,436,11456,1566,582932
2009,4,2.42907,2.34368,4039,6602,468,14324,1554,611176
2009,5,2.96686,2.86057,4606,8882,540,18268,1580,638613
2009,6,3.57354,3.3421,5064,11215,752,21667,1569,648304
2009,7,3.36653,3.20566,4848,9851,638,20022,1543,624583
2009,8,3.2962,3.10049,4694,10092,657,20450,1544,659573
2009,9,3.17227,2.95819,4420,9116,633,18441,1534,623389
2009,10,2.5804,2.46381,4046,7446,618,15711,1524,637672
2009,11,2.42922,2.19272,3657,6036,582,13277,1494,605503
2009,12,1.99028,1.87395,3237,5052,450,11400,1470,608342
2009,13,1.72423,1.64817,2829,4283,399,9669,1440,586651
2009,14,1.60355,1.49878,2577,3407,391,8460,1422,564460
2009,15,1.28418,1.29233,2371,2761,363,7222,1415,558837
2009,16,1.2932,1.27164,2353,2855,397,7348,1445,577836
2009,17,2.74012,2.98159,4821,8043,670,18627,1405,624734
2009,18,2.22391,2.43702,3920,6221,562,14578,1422,598189
2009,19,1.76657,2.2813,3236,5888,412,12554,1372,550300
2009,20,1.92171,3.81572,4188,12026,424,20774,1331,544432
2009,21,1.8611,4.21315,4496,12461,487,22394,1314,531526
2009,22,1.68423,3.17832,3865,8615,412,17105,1305,538177
2009,23,1.7393,2.50972,3072,5660,384,12392,1296,493761
2009,24,1.83001,2.06632,2623,4740,333,10780,1280,521701
2009,25,1.58128,1.71805,2299,3700,326,8801,1279,512268
2009,26,1.49172,1.55965,2145,2893,361,7422,1237,475877
2009,27,1.389,1.30856,1701,2481,293,6290,1246,480680
2009,28,1.34702,1.18695,1581,2437,238,5964,1248,502466
2009,29,1.16056,1.13796,1608,2285,231,5735,1248,503971
2009,30,1.2085,1.15005,1519,2199,294,5587,1254,485804
2009,31,1.15544,1.11262,1651,2082,263,5526,1230,496666
2009,32,1.14518,1.16142,1645,2321,265,5877,1234,506019
2009,33,1.4664,1.64107,2167,4210,396,8941,1286,544827
2009,34,2.38017,2.47166,2883,8253,443,14556,1320,588916
2009,35,3.44681,3.71969,3713,13114,541,21350,1358,573972
2009,36,4.05315,3.94975,4087,13407,520,22561,1367,571201
2009,37,4.26621,4.08756,4445,15326,652,26091,1380,638302
2009,38,4.21579,4.01897,4462,14152,588,24454,1313,608464
2009,39,4.8861,4.60362,4974,16291,564,27919,1331,606458
2009,40,6.06923,5.66087,9302,27406,903,48420,2056,855346
2009,41,7.09467,6.81522,11527,32585,1013,58196,2134,853912
2009,42,7.7151,7.61889,13187,39364,1070,69068,2162,906536
2009,43,7.55134,7.38836,13174,36860,1128,66411,2167,898860
2009,44,6.67118,6.33927,12161,30860,1074,57017,2197,899425
2009,45,5.20633,4.94349,10151,21112,978,42729,2191,864348
2009,46,4.04477,3.80996,8979,14652,883,32520,2157,853552
2009,47,3.49722,3.44106,7716,8237,771,22508,2146,654101
2009,48,2.69023,2.66773,7195,7988,818,21730,2122,814550
2009,49,2.47119,2.47183,6490,7218,715,19325,2093,781811
2009,50,2.44773,2.345,6275,5785,659,17081,2014,728401
2009,51,2.64594,2.71435,6078,4127,644,14575,1934,536961
2009,52,2.61567,2.67667,6598,3726,803,15613,1937,583299
2010,1,1.90712,1.98284,4998,3961,763,14299,1996,721138
2010,2,1.86738,1.82749,4877,4614,622,14088,2016,770895
2010,3,1.88072,1.92606,5399,5079,578,14757,2053,766177
2010,4,1.96908,1.92495,5333,5655,528,15122,2026,785580
2010,5,2.11387,2.08877,5816,6142,550,16037,1996,767773
2010,6,2.09695,2.03434,5496,5577,658,15381,1977,756068
2010,7,1.90294,1.97649,5388,5536,498,15065,1954,762208
2010,8,1.96951,1.99362,5040,6207,679,16087,1990,806925
2010,9,1.92331,1.85383,4281,5685,672,14486,1953,781411
2010,10,1.89659,1.8673,4612,5270,700,14354,1946,768702
2010,11,1.75181,1.69987,4063,4466,628,12601,1933,741293
2010,12,1.52632,1.49741,3625,4108,534,11191,1917,747358
2010,13,1.49572,1.45112,3408,3733,528,10359,1875,713863
2010,14,1.22313,1.20715,3090,2933,428,8813,1850,730068
2010,15,1.17754,1.17415,3117,3110,404,8801,1831,749563
2010,16,1.09112,1.16207,2921,3044,414,8362,1765,719580
2010,17,1.11958,1.17213,3081,2972,395,8440,1755,720054
2010,18,1.08169,1.12168,2781,2901,365,7914,1710,705551
2010,19,1.12497,1.14981,2851,2645,347,7697,1664,669414
2010,20,1.06197,1.13328,2816,2553,372,7603,1624,670887
2010,21,1.08909,1.08171,2636,2188,349,6853,1497,633532
2010,22,1.1776,1.19959,2413,2172,335,6595,1421,549773
2010,23,0.97493,0.952808,2147,1831,322,5755,1435,604004
2010,24,0.987132,0.916032,1975,1784,240,5316,1405,580329
2010,25,0.995991,0.926582,2027,1779,249,5334,1384,575664
2010,26,0.904726,0.86962,1754,1541,238,4718,1347,542536
2010,27,0.941927,0.903133,1753,1566,222,4691,1353,519414
2010,28,0.880415,0.773776,1458,1450,209,4234,1284,547187
2010,29,0.842615,0.742774,1323,1335,198,3950,1265,531790
2010,30,0.858382,0.730934,1290,1279,174,3850,1250,526723
2010,31,0.83383,0.786882,1381,1357,209,4077,1241,518121
2010,32,0.847437,0.763051,1378,1307,214,4008,1212,525260
2010,33,0.888273,0.841043,1485,1592,198,4518,1225,537190
2010,34,0.765372,0.791573,1520,1592,202,4420,1235,558382
2010,35,0.91858,0.912732,1564,1866,204,5007,1170,548573
2010,36,1.01432,1.03398,1850,1959,234,5493,1198,531250
2010,37,1.01233,0.934009,1720,2118,253,5510,1210,589930
2010,38,1.11803,1.08189,2134,2510,326,6741,1206,623077
2010,39,1.11806,1.06563,1995,2383,294,6387,1254,599366
2010,40,1.10939,1.13505,2627,3142,400,8473,1838,746485
2010,41,1.24341,1.25256,2953,3522,444,9347,1875,746230
2010,42,1.25726,1.2457,3044,3641,411,9684,1907,777397
2010,43,1.25734,1.26774,3226,3822,420,9904,1929,781234
2010,44,1.43414,1.43723,3451,4397,455,11020,1947,766753
2010,45,1.51838,1.53341,3927,4679,511,11807,1940,769982
2010,46,1.61617,1.69445,4416,5322,497,13336,1921,787038
2010,47,1.84378,1.9915,4598,4145,550,12079,1938,606527
2010,48,1.72535,1.81305,5045,4978,619,13997,1964,772016
2010,49,1.87923,2.01426,5060,5867,627,14958,1936,742606
2010,50,2.3371,2.55659,6300,7194,650,18022,1916,704923
2010,51,3.03533,3.38185,7295,7071,838,19899,1840,588406
2010,52,3.136,3.43172,7478,5764,1068,20346,1887,592880
2011,1,2.53336,2.69151,6584,6342,1059,20026,1923,744043
2011,2,2.91288,2.91063,6238,7773,953,20721,1921,711908
2011,3,3.44497,3.49232,7247,11243,938,26257,1964,751850
2011,4,4.16185,4.0037,8007,15291,931,31975,1947,798637
2011,5,4.55159,4.43534,8195,16366,1197,34284,1970,772974
2011,6,4.46504,4.24215,8036,16516,1096,34456,1961,812230
2011,7,4.55124,4.39719,8172,17493,1293,36567,1910,831600
2011,8,4.0822,3.90256,7839,13718,1267,31277,1908,801449
2011,9,3.38812,3.15073,6376,10496,1146,24627,1860,781629
2011,10,2.99142,2.72422,5691,8427,899,20377,1829,747993
2011,11,2.61542,2.33336,5363,6702,804,17309,1823,741807
2011,12,2.09065,1.925,4400,5489,613,14031,1790,728883
2011,13,1.86146,1.75243,4189,5025,622,12957,1770,739375
2011,14,1.61377,1.57704,3701,4557,508,11498,1723,729089
2011,15,1.42199,1.35766,3164,3562,450,9391,1681,691707
2011,16,1.3382,1.31223,3139,3064,428,8695,1651,662612
2011,17,1.19995,1.14937,2895,2673,383,7830,1612,681240
2011,18,1.14889,1.11451,2532,2553,393,7307,1585,655627
2011,19,1.12194,1.10984,2551,2595,351,7236,1556,651983
2011,20,1.06712,1.0524,2353,2280,305,6530,1516,620485
2011,21,1.05058,1.03536,2213,2110,299,6072,1381,586460
2011,22,1.15203,1.11777,2249,1980,307,5946,1357,531954
2011,23,0.970975,0.982949,2040,1760,278,5547,1296,564322
2011,24,0.894683,0.925194,1812,1599,262,4989,1279,539238
2011,25,0.843568,0.835531,1604,1422,244,4448,1251,532356
2011,26,0.815409,0.832393,1472,1462,210,4218,1225,506732
2011,27,0.823052,0.855591,1423,1269,224,4009,1211,468565
2011,28,0.674635,0.706949,1255,1206,188,3721,1220,526346
2011,29,0.631883,0.694387,1243,1184,178,3597,1203,518011
2011,30,0.641513,0.687976,1251,1188,169,3538,1179,514262
2011,31,0.529813,0.644743,1088,1125,151,3202,1175,496632
2011,32,0.644089,0.67533,1207,1223,158,3523,1175,521671
2011,33,0.667718,0.72823,1342,1358,166,3874,1191,531975
2011,34,0.705668,0.806526,1505,1600,220,4444,1195,551005
2011,35,0.804155,0.860408,1528,1781,213,4717,1200,548228
2011,36,0.907804,0.936075,1622,1809,185,4813,1184,514168
2011,37,1.00555,0.966683,1788,2206,205,5567,1196,575887
2011,38,1.03601,0.996007,1816,2264,242,5822,1201,584534
2011,39,1.07583,1.10846,2248,2514,244,6708,1213,605162
2011,40,1.16092,1.20345,3106,3485,377,9365,1850,778182
2011,41,1.19785,1.23777,3317,3667,370,9803,1883,791987
2011,42,1.27926,1.25259,3324,3837,379,9958,1905,794995
2011,43,1.29194,1.30546,3453,4035,380,10298,1900,788840
2011,44,1.42824,1.45295,3634,4658,387,11396,1925,784334
2011,45,1.39803,1.44089,3949,4348,456,11496,1946,797839
2011,46,1.45831,1.46221,3923,4361,474,11721,1900,801594
2011,47,1.56548,1.65573,4125,3340,430,10377,1918,626731
2011,48,1.34313,1.46606,4237,3955,413,11479,1904,782984
2011,49,1.48139,1.51811,3995,4040,442,11187,1898,736905
2011,50,1.63398,1.66429,4579,4097,546,12137,1872,729258
2011,51,1.83126,1.85274,5016,3535,521,11958,1851,645424
2011,52,2.10451,2.12413,5243,3184,668,12356,1821,581697
2012,1,1.73625,1.76709,4514,3393,715,11992,1891,678631
2012,2,1.55066,1.5434,4059,3636,611,11543,1883,747894
2012,3,1.62891,1.64762,4364,4030,498,11939,1887,724623
2012,4,1.76038,1.6843,4766,4802,513,13209,1891,784244
2012,5,1.92728,1.86354,5218,5336,564,14448,1885,775298
2012,6,1.91994,1.86408,5028,5555,565,14624,1875,784516
2012,7,2.09951,2.01839,5277,5994,667,15929,1884,789193
2012,8,2.23973,2.10385,5246,5990,761,16137,1853,767022
2012,9,2.21921,2.09555,5219,6239,766,16518,1826,788242
2012,10,2.16693,2.10398,4811,6493,629,15763,1816,749198
2012,11,2.38913,2.2941,5175,6768,701,17150,1819,747570
2012,12,1.96466,1.92223,4422,5683,609,14524,1780,755579
2012,13,1.84229,1.74239,3807,5256,549,13017,1753,747079
2012,14,1.68674,1.67601,3582,4631,572,11930,1729,711808
2012,15,1.53136,1.49637,3253,4059,544,10732,1707,717202
2012,16,1.37912,1.38202,3001,4020,393,10123,1699,732480
2012,17,1.29515,1.28926,2638,3802,435,9370,1675,726772
2012,18,1.39521,1.35803,2509,3671,455,8999,1564,662649
2012,19,1.32522,1.30833,2524,3468,419,8576,1546,655492
2012,20,1.23059,1.26692,2465,3087,375,8062,1503,636347
2012,21,1.23028,1.27731,2545,3011,378,7878,1415,616765
2012,22,1.26877,1.2991,2480,2601,350,7153,1409,550614
2012,23,1.10782,1.16297,2336,2352,338,6765,1365,581700
2012,24,1.09559,1.08612,2231,2024,300,6133,1289,564670
2012,25,1.11031,1.0568,2259,1974,285,6048,1295,572296
2012,26,1.10616,1.07871,2168,1850,288,5786,1260,536380
2012,27,1.10816,1.04662,1911,1706,273,5291,1271,505533
2012,28,0.999444,0.928152,1913,1751,220,5185,1240,558637
2012,29,0.924199,0.901936,1818,1640,241,4931,1223,546713
2012,30,0.949257,0.915356,1752,1721,283,5103,1250,557488
2012,31,0.978903,0.952548,1728,1706,267,5159,1240,541600
2012,32,0.925024,0.916661,1660,1718,284,5026,1248,548294
2012,33,0.848456,0.901787,1721,1755,232,5051,1238,560110
2012,34,1.04451,1.03315,2098,2128,296,6141,1238,594395
2012,35,1.0986,1.05238,1958,2335,277,6318,1238,600354
2012,36,1.22071,1.12713,1886,2294,318,6296,1242,558585
2012,37,1.24976,1.1866,2176,2870,415,7382,1252,622114
2012,38,1.22892,1.21415,2295,2972,348,7656,1268,630563
2012,39,1.29393,1.25198,2421,2867,398,7807,1248,623572
2012,40,1.23034,1.20559,2773,3691,415,9395,1932,779285
2012,41,1.3278,1.31929,2960,4007,489,10158,1940,769959
2012,42,1.33995,1.32737,3202,4233,488,10585,1968,797444
2012,43,1.37842,1.36688,3346,4268,516,10913,1958,798388
2012,44,1.50085,1.50535,3326,4422,484,11061,1929,734781
2012,45,1.65163,1.61273,3733,5145,541,12674,1974,785871
2012,46,1.76746,1.75208,4034,5526,597,13623,1966,777534
2012,47,2.30609,2.33365,4651,5387,683,14650,1968,627772
2012,48,2.16324,2.2268,5102,7018,953,18521,2006,831730
2012,49,2.83038,2.97657,6486,10857,1071,24877,2006,835762
2012,50,3.43761,3.62552,7446,12945,1262,29432,1977,811800
2012,51,4.30554,4.5532,8546,13971,1648,34332,1908,754019
2012,52,6.06082,6.02598,9709,11391,2554,36588,1905,607171
2013,1,4.64931,4.96368,8444,9108,2792,34103,1982,687051
2013,2,4.32584,4.69072,8297,13424,2796,39896,1995,850531
